Date,EPU,TCI
05-10-2012,208.37,23.2906234210325
08-10-2012,130.89,22.7660258817344
09-10-2012,118.2,22.7436457380014
10-10-2012,129.14,22.1910687289087
11-10-2012,127.14,22.4809838259909
12-10-2012,114.5,22.6498794873773
15-10-2012,197.95,23.290524070476
16-10-2012,199.82,22.3116172197768
17-10-2012,196.86,22.189605234765
18-10-2012,205.58,22.8912578113244
19-10-2012,170.07,22.7867479973365
22-10-2012,155.59,24.3022531592514
23-10-2012,113.57,23.2822734590974
24-10-2012,118.63,23.4567755141878
25-10-2012,128.87,23.2616971074631
26-10-2012,210.63,22.8691219375525
31-10-2012,141.64,22.5283477974872
01-11-2012,196.81,21.0521566809748
02-11-2012,82.44,21.3596763024733
05-11-2012,225.43,21.6583741290328
06-11-2012,195.5,21.375860504244
07-11-2012,358,22.3813408212741
08-11-2012,241.14,23.4698734392498
09-11-2012,278.07,23.1794659127594
12-11-2012,188.45,22.8766735094419
13-11-2012,207.36,22.8297344666094
14-11-2012,213.51,23.0078971412732
15-11-2012,195.26,23.0781080941315
16-11-2012,194.72,22.9895474892622
19-11-2012,203.57,22.2133632824695
20-11-2012,192.6,23.1182526351413
21-11-2012,159.8,23.1576277939266
23-11-2012,272.9,22.9529768974928
26-11-2012,212.05,23.6324122379285
27-11-2012,177.67,22.9269713721045
28-11-2012,152.15,22.3571543107133
29-11-2012,214.4,22.1000390519389
30-11-2012,251.56,22.1400483484268
03-12-2012,174.34,21.8835664803621
04-12-2012,243.44,21.6770166901027
05-12-2012,182.4,21.3384741098173
06-12-2012,244.15,21.3900704195356
07-12-2012,194.02,21.1232982845994
10-12-2012,166.13,21.093351490786
11-12-2012,316.27,21.4171552113011
12-12-2012,161.39,20.8783691043217
13-12-2012,231.84,19.7264950275213
14-12-2012,162.65,19.1064197457831
17-12-2012,230.8,19.0205945680669
18-12-2012,136.6,18.9605054645637
19-12-2012,77.04,18.7508814540551
20-12-2012,146.83,20.6248762751052
21-12-2012,188.68,20.3968826329244
24-12-2012,236.44,21.289333790615
26-12-2012,231.81,21.188817448972
27-12-2012,350.12,20.8957261689908
28-12-2012,251.11,20.6759020112348
