Date,Carbon,TCI
02-06-2015,148.42,14.8839495340418
03-06-2015,149.21,15.1679300458666
04-06-2015,147.43,14.983441503769
05-06-2015,147.63,14.8663686063062
08-06-2015,148.42,14.6947149766223
09-06-2015,150.8,14.2122747529476
10-06-2015,151.2,14.2962625706882
11-06-2015,149.61,14.788308253697
12-06-2015,151.6,14.7307641296404
15-06-2015,149.81,14.6804182543182
16-06-2015,147.82,14.544643779384
17-06-2015,148.82,14.4520637110911
18-06-2015,148.42,14.4025064904742
19-06-2015,147.63,15.1204204207383
22-06-2015,148.82,15.8024357387941
23-06-2015,149.21,16.0985518787325
24-06-2015,149.02,16.0874221452102
25-06-2015,151,16.1442741995887
26-06-2015,149.81,15.9641232686064
29-06-2015,146.24,15.857658612226
30-06-2015,148.02,19.4566503592733
01-07-2015,148.82,19.3736783762879
02-07-2015,148.02,19.0915816976993
06-07-2015,146.63,18.9931909151728
07-07-2015,148.22,22.1751480558052
08-07-2015,148.02,21.4292194049569
09-07-2015,148.62,23.0206176098528
10-07-2015,151.2,23.110263799752
13-07-2015,154.77,23.5932015801191
14-07-2015,153.58,23.8279249236643
15-07-2015,154.17,23.6950965668864
16-07-2015,152.19,24.360509360517
17-07-2015,153.78,24.1074037676875
20-07-2015,158.54,23.7560289042232
21-07-2015,158.14,23.3250790589745
22-07-2015,158.14,22.9607647928084
23-07-2015,160.52,22.2912369724784
24-07-2015,159.14,22.2359433148998
27-07-2015,159.33,22.4420416568674
28-07-2015,159.33,22.9252468654663
29-07-2015,160.13,22.3079945877894
30-07-2015,156.56,22.1102930269971
31-07-2015,156.36,21.9272413377105
03-08-2015,157.94,21.2925809964677
04-08-2015,156.95,21.0219325917419
05-08-2015,155.56,20.8299968881796
06-08-2015,155.76,20.1068104943467
07-08-2015,154.57,21.3781740397495
10-08-2015,157.35,21.43757814
11-08-2015,160.72,22.3239017250134
12-08-2015,162.71,22.4054595675595
13-08-2015,162.71,22.2336966701825
14-08-2015,165.29,22.0827761099172
17-08-2015,163.7,21.6609721206874
18-08-2015,164.29,21.1437450896217
19-08-2015,165.68,20.4873284357393
20-08-2015,166.08,20.9950049217745
21-08-2015,162.91,22.7644721173722
24-08-2015,162.31,23.0874459987963
25-08-2015,163.9,25.6393078304335
26-08-2015,160.92,25.2906025215403
27-08-2015,159.73,24.9173486599732
28-08-2015,161.12,27.2835620373911
31-08-2015,160.33,27.4156391218037
01-09-2015,159.14,26.1570248599581
02-09-2015,161.32,26.7177243815652
03-09-2015,162.31,26.230021311659
04-09-2015,160.72,25.894071634726
08-09-2015,163.7,25.0656817106446
09-09-2015,164.29,24.5019635548584
10-09-2015,164.49,24.1210391642634
11-09-2015,164.09,23.6298833472242
14-09-2015,163.5,23.5634451956753
15-09-2015,162.31,23.024242146553
16-09-2015,163.5,22.7326190100589
17-09-2015,163.45,23.4607353083384
18-09-2015,161.13,23.1302915142749
21-09-2015,158.56,23.1074521386428
22-09-2015,159.35,22.6872677269033
23-09-2015,160.34,22.9440804620104
24-09-2015,158.95,24.0889718477546
25-09-2015,158.75,23.9994212398386
28-09-2015,157.17,23.4507423279819
29-09-2015,158.29,24.2344811181007
30-09-2015,161.72,22.8643973111942
