Date,TCI,VIX
04-03-2022,24.6587571770955,31.98
07-03-2022,24.6192160214634,36.45
08-03-2022,23.8275975056136,35.13
09-03-2022,25.307262841944,32.45
10-03-2022,24.4204561760295,30.23
11-03-2022,23.2036927558785,30.75
14-03-2022,22.8389109040801,31.77
15-03-2022,24.0320358197568,29.83
16-03-2022,23.7173474949531,26.67
17-03-2022,23.9870418140368,25.67
18-03-2022,24.2095681949979,23.87
21-03-2022,24.111760010851,23.53
22-03-2022,24.0420286690167,22.94
23-03-2022,23.8173709193898,23.57
24-03-2022,23.6622725101314,21.67
25-03-2022,23.2686986269899,20.81
28-03-2022,23.3467872968829,19.63
29-03-2022,23.3714940523936,18.9
30-03-2022,23.225859547474,19.33
31-03-2022,22.9338787762059,20.56
01-04-2022,22.6670973051059,19.63
04-04-2022,22.5875696095296,18.57
05-04-2022,21.9928300468663,21.03
06-04-2022,21.7691413061262,22.1
07-04-2022,22.5576771831595,21.55
08-04-2022,21.984402381209,21.16
11-04-2022,21.4987483241258,24.37
12-04-2022,21.5883877373839,24.26
13-04-2022,21.686421931494,21.82
14-04-2022,20.9696063883606,22.7
18-04-2022,20.7525314442113,22.17
19-04-2022,20.6396957909674,21.37
20-04-2022,20.4407586338834,20.32
21-04-2022,19.9339447497354,22.68
22-04-2022,22.6018417330305,28.21
25-04-2022,23.5432578597316,27.02
26-04-2022,24.8421738674043,33.52
27-04-2022,24.6236843122124,31.6
28-04-2022,24.3599264441598,29.99
29-04-2022,24.6176872700818,33.4
02-05-2022,22.9887541213438,32.34
03-05-2022,22.9575410763024,29.25
04-05-2022,22.8225391178286,25.42
05-05-2022,22.7676578681749,31.2
06-05-2022,23.2357749947642,30.19
09-05-2022,24.1021409019518,34.75
10-05-2022,25.143519883555,32.99
11-05-2022,25.0969963818842,32.56
12-05-2022,24.9939346075114,31.77
13-05-2022,24.7005356774981,28.87
16-05-2022,25.7687965932827,27.47
17-05-2022,25.2564093453014,26.1
18-05-2022,25.8130612877985,30.96
19-05-2022,25.3963830399976,29.35
20-05-2022,25.4714182628986,29.43
23-05-2022,24.9685772207867,28.48
24-05-2022,24.9613983681166,29.45
25-05-2022,24.5102800215734,28.37
26-05-2022,24.4201540710114,27.5
27-05-2022,25.0002380655314,25.72
31-05-2022,25.7062784136497,26.19
01-06-2022,25.1828432112736,25.69
02-06-2022,25.0242419332421,24.72
03-06-2022,25.3555507730757,24.79
06-06-2022,24.829699880682,25.07
07-06-2022,23.7670627528514,24.02
08-06-2022,22.8201237890181,23.96
09-06-2022,22.455005360423,26.09
10-06-2022,22.4446238889436,27.75
13-06-2022,23.1376666986033,34.02
14-06-2022,24.8053953678933,32.69
15-06-2022,25.0185301240625,29.62
16-06-2022,24.8483983851021,32.95
17-06-2022,24.8785876846629,31.13
21-06-2022,24.5371683276599,30.19
22-06-2022,24.7826190192924,28.95
23-06-2022,24.7803066442954,29.05
24-06-2022,24.279370556131,27.23
27-06-2022,24.5131597505041,26.95
28-06-2022,24.5335023330057,28.36
29-06-2022,24.185616687386,28.16
30-06-2022,25.129338342153,28.71
01-07-2022,24.8556027443285,26.7
05-07-2022,23.3705990526623,27.54
06-07-2022,23.4099171623642,26.73
07-07-2022,23.2654246558808,26.08
08-07-2022,23.9266744838998,24.64
11-07-2022,23.7238416283231,26.17
12-07-2022,24.4081537195633,27.29
13-07-2022,24.9015937066352,26.82
14-07-2022,24.7323080329528,26.4
15-07-2022,24.7907266981059,24.23
18-07-2022,24.1879670734362,25.3
19-07-2022,24.2321171459218,24.5
20-07-2022,24.2937458794527,23.88
21-07-2022,23.9943757071249,23.11
22-07-2022,23.7268766876867,23.03
25-07-2022,23.6284646414285,23.36
26-07-2022,23.4275896778263,24.69
27-07-2022,23.51862983,23.24
28-07-2022,25.0887218869767,22.33
29-07-2022,26.2779082361279,21.33
01-08-2022,26.1258702555285,22.84
02-08-2022,25.7740935422937,23.93
03-08-2022,25.2367248259085,21.95
04-08-2022,25.0951092587903,21.44
05-08-2022,24.6849966668737,21.15
08-08-2022,24.7381763745259,21.29
09-08-2022,23.9263707805995,21.77
10-08-2022,24.0961508868993,19.74
11-08-2022,26.2212290126798,20.2
12-08-2022,25.5750030957546,19.53
15-08-2022,25.3898245834325,19.95
16-08-2022,25.2181355945149,19.69
17-08-2022,25.260185512498,19.9
18-08-2022,24.9603992841031,19.56
